代码,展示代码,名称,行业,中信细分行业,市场,板块,最新成交额,中证全指权重,概念数量,来源
sz300788,300788.SZ,中信出版,出版业,大众出版,深交所,创业板,273021522.0,0.0,14,全A基础池扩展补充
sh688326,688326.SH,经纬恒润,汽车配件,汽车电子电气系统,上交所,科创板,188838753.0,0.0,16,全A基础池扩展补充
sz300137,300137.SZ,先河环保,环境保护,环境监测,深交所,创业板,821662614.0,0.0,8,全A基础池扩展补充
sh688693,688693.SH,锴威特,半导体,功率半导体,上交所,科创板,985435830.0,0.0,7,全A基础池扩展补充
sz300586,300586.SZ,美联新材,化工原料,塑料助剂,深交所,创业板,390781635.0,0.0,12,全A基础池扩展补充
sz002682,002682.SZ,龙洲股份,仓储物流,供应链服务,深交所,主板,88177275.0,0.0,22,全A基础池扩展补充
sh603602,603602.SH,纵横通信,通信设备,网络工程施工,上交所,主板,105989334.0,0.0,19,全A基础池扩展补充
sz300606,300606.SZ,金太阳,机械基件,磨具磨料,深交所,创业板,265961542.0,0.0,14,全A基础池扩展补充
sz301136,301136.SZ,招标股份,建筑工程,工程咨询服务,深交所,创业板,87737558.0,0.0,22,全A基础池扩展补充
sh688458,688458.SH,美芯晟,半导体,集成电路设计,上交所,科创板,547703649.0,0.0,10,全A基础池扩展补充
sz000156,000156.SZ,华数传媒,影视音像,广播电视,深交所,主板,85661340.0,0.0,25,全A基础池扩展补充
sh603051,603051.SH,鹿山新材,塑料,胶黏剂及胶带,上交所,主板,178054001.0,0.0,16,全A基础池扩展补充
sz300819,300819.SZ,聚杰微纤,纺织,其他纺织,深交所,创业板,1120227599.0,0.0,6,全A基础池扩展补充
sz002277,002277.SZ,友阿股份,百货,百货,深交所,主板,445656777.0,0.0,11,全A基础池扩展补充
sz301137,301137.SZ,哈焊华通,机械基件,金属制品,深交所,创业板,771140296.0,0.0,8,全A基础池扩展补充
sz300552,300552.SZ,万集科技,IT设备,其他IT设备,深交所,创业板,255076217.0,0.0,14,全A基础池扩展补充
sh603318,603318.SH,水发燃气,供气供热,燃气,上交所,主板,1336427194.0,0.0,5,全A基础池扩展补充
sz000546,000546.SZ,金圆股份,环境保护,固废治理,深交所,主板,639402760.0,0.0,9,全A基础池扩展补充
sz002051,002051.SZ,中工国际,建筑工程,国际工程,深交所,主板,767834390.0,0.0,8,全A基础池扩展补充
sz300665,300665.SZ,飞鹿股份,染料涂料,涂料油墨,深交所,创业板,304013059.0,0.0,13,全A基础池扩展补充
sz002034,002034.SZ,旺能环境,环境保护,固废治理,深交所,主板,1099787251.0,0.0,6,全A基础池扩展补充
sz300228,300228.SZ,富瑞特装,化工机械,其他专用设备,深交所,创业板,434079716.0,0.0,11,全A基础池扩展补充
